연번,시설명,흡연시설 위치,시설형태
1,구미시청,"경상북도 구미시 송정대로 55, 구미시청 본관 옥상",개방형
2,구미시청,"경상북도 구미시 송정대로 55, 구미시청 별관1 앞 ",폐쇄형
3,구미시청,"경상북도 구미시 송정대로 55, 구미시의회 건물 뒤 ",폐쇄형
4,구미시청,"경상북도 구미시 송정대로 55, 구미시청 민원봉사실 옆",폐쇄형
5,구미역,"경상북도 구미시 구미중앙로 76, 구미종합역사 뒤 공터",개방형
6,노인종합복지관,경상북도 구미시 산책길 51 본관건물 앞 소공원내 정자 ,개방형
7,강동문화복지회관,경상북도 구미시 인동가산로 392 강동문화복지회관 건물 측면,폐쇄형
8,구미시립중앙도서관,경상북도 구미시 경은로 85(형곡동) 도서관 후문,폐쇄형
9,양포동행정복지센터,경상북도 구미시 산호대로35길 6 행정복지센터현관앞 정자,개방형
10,경상북도구미교육지원청,경상북도 구미시 송정대로63 본관 건물 뒤,패쇄형
11,구미경찰서,경상북도 구미시 송원동로 11-4 구미경찰서 본관 좌측,개방형
12,구미시선거관리위원회,경상북도 구미시 봉곡로9길 10-3 청사건물 뒤,개방형
13,고용노동부 구미지청,경상북도 구미시 3공단1로 312-27 본관건물 뒤,개방형
14,농업기술센터,경상북도 구미시 선산읍 김선로 963 구미시농업기술센터 4층 옥상,개방형
15,구미화훼연구소,경상북도 구미시 옥성면 선상동로 1192 본관 연구소옆 파고라,개방형
16,선산출장소,경상북도 구미시 선산읍 선산대로83-2 본관 옆,폐쇄형
17,옥성면사무소,경상북도 구미시 옥성면 주아령로 415 옥성면사무소 주차장옆,개방형
18,고아읍행정복지센터,경상북도 구미시 선산대로 980 옥상 ,개방형
19,고아읍행정복지센터,경상북도 구미시 선산대로 980 본관 건물 옆 ,개방형